"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1268836-0024","AO000072-CRT","AO000072-CRT","ERGOTRON","C50-3510-0","AO000072","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor"
"Island Health","1297850-0043","AO000074-CRT","AO000074-CRT","ERGOTRON","C50-3510-0","AO000074","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297846-0057","AO000078-CRT","AO000078-CRT","ERGOTRON","SV43-2570-0","AO000078","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1297846-0009","AO000079-CRT","AO000079-CRT","ERGOTRON","C50-3510-0","AO000079","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
"Island Health","1297849-0004","AO000080-CRT","AO000080-CRT","ERGOTRON","C50-3510-0","AO000080","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-8th Floor"
"Island Health","1297847-0020","AO000081-CRT","AO000081-CRT","ERGOTRON","C50-3510-0","AO000081","VIHA-RJH-Royal Jubilee Hospital-Royal Block-1st Floor"
"Island Health","1297848-0006","AO000083-CRT","AO000083-CRT","ERGOTRON","SV43-2570-0","AO000083","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1297847-0015","AO000086-CRT","AO000086-CRT","ERGOTRON","C50-3510-0","AO000086","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-7th Floor"
"Island Health","1297847-0048","AO000090-CRT","AO000090-CRT","ERGOTRON","C50-3510-0","AO000090","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-6th Floor"
"Island Health","1269742-0034","AO000091-CRT","AO000091-CRT","ERGOTRON","C50-3510-0","AO000091","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor"
"Island Health","1297848-0002","AO000094-CRT","AO000094-CRT","ERGOTRON","C50-3510-0","AO000094","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor"
"Island Health","1360921-0062","AO000101-CRT","AO000101-CRT","ERGOTRON","C50-3500-0","AO000101","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor"
"Island Health","1399175-0034","AO000102-CRT","AO000102-CRT","ERGOTRON","C50-3510-0","AO000102","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0029","AO000105-CRT","AO000105-CRT","ERGOTRON","C50-3510-0","AO000105","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-5th Floor"
"Island Health","TEMPVIHA013","AO000107-CRT","AO000107-CRT","ERGOTRON","C50-3510-0","AO000107","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor"
