"u_parent_asset","u_parent_asset.parent","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"AO005673-CRT","AO005673","Barcode Scanner","AO005673-SCN","2013610-0029-SCN","2013610-0029-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005643-CRT","AO005643","Barcode Scanner","AO005643-SCN","2013610-0030-SCN","2013610-0030-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005663-CRT","AO005663","Barcode Scanner","AO005663-SCN","2013610-0031-SCN","2013610-0031-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005560-CRT","AO005560","Barcode Scanner","AO005560-SCN","2013610-0032-SCN","2013610-0032-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005656-CRT","AO005656","Barcode Scanner","AO005656-SCN","2013610-0033-SCN","2013610-0033-SCN","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005592-CRT","AO005592","Barcode Scanner","AO005592-SCN","2013610-0034-SCN","2013610-0034-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005636-CRT","AO005636","Barcode Scanner","AO005636-SCN","2013610-0035-SCN","2013610-0035-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005635-CRT","AO005635","Barcode Scanner","AO005635-SCN","2013610-0036-SCN","2013610-0036-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005606-CRT","AO005606","Barcode Scanner","AO005606-SCN","2013610-0037-SCN","2013610-0037-SCN","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005627-CRT","AO005627","Barcode Scanner","AO005627-SCN","2013610-0040-SCN","2013610-0040-SCN","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Rehabilitation","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO000837-CRT","AO000837","Barcode Scanner","AO000837-SCN","2013610-0041-SCN","2013610-0041-SCN","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
"AO005655-CRT","AO005655","Barcode Scanner","AO005655-SCN","2013610-0042-SCN","2013610-0042-SCN","VIHA-GVHF-Victoria Hospitals Foundation","","DS8178-HC Handheld Barcode Scanner - Wireless w Cradle","ZEBRA"
